"src_name";"src_gender";"src_birth_date";"src_sin";"src_card";"src_address";"src_email";"src_primary_key";"meta_last_update"
"Dr. John Smith";"M";"12/16/1978";"000000000";"88682239496";"14618 110 Ave Surrey V3R2A9";"john.smith@.com";"1";"2006/12/06"
"Smith W. John";"M";"16.12.1978";"095-242-434";"266805807984498";"Surrey 14618 110 Ave";"john.w.smith@gmail.com";"2";"2007/04/15"
"John William Smith";;"781216";"SIN095242434";;"25 Linden Str Toronto M4X 1V5";"john.will.smith@gmail.com";"3";"2009/06/28"
"Dr. J.W. Smith";"M";"11/16/78";"095242433";"4334338874158390";;"dr.john.smith@gmail.c";"4";"2005/03/20"
"John Smith";;"16.11.1978";"095252433";"431768161757282";"8500 Leslie L3T 7M8 Toronto";"smith.john@gmail.com";"5";"2008/11/03"
"Smith John";;"16.11.1978";;"431768161757282";"8500 Leslie street Marham";"john.smith@gmail.com";"6";"2008/12/16"
"John Smiht";;"16.11.1978";"95252433";"NULL";;;"7";"2009/12/19"
"Jane Watson";;"1982";"420347213";"974997714973";"600-8500 Leslie str. Toronto  L3T 7M8";"jane.watson@gmail.com";"8";"2006/10/09"
"Watson Jane";"F";"5.1.1982";"420-347-213";;"8500 Leslei street Toronto L3T 7M8";"jane.watson@gmail.com";"9";"2007/01/23"
"Jane Smith";"F";"1982-05-01";"SIN420347213";"720847891758473";;;"10";"2009/02/21"
"J. Smith";;;"420-347-213";;;;"11";"2009/04/05"
"Janette Smith";"F";"B. 1982-01-05";"SIN";"54590972345186400";;;"12";"2009/05/12"
